GENSPECIES,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TOLERANCE,FEEDINGHAB,NBI-P_TOLERANCE,NBI-N_TOLERANCE
Drunella cornutella,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,SC,4,4
Drunella lata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,SC,,
Drunella tuberculata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,SC,,
Drunella walkeri,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,SC,,
Drunella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,SC,,
Ephemerella aurivillii,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,CG,,
Ephemerella dorothea,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,,
Ephemerella excrucians?,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,,
Ephemerella invaria,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,,
Ephemerella needhami,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,,
Quistadrilus multisetosus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Quistadrilus sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Rhyacodrilus subterraneus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Rhyacodrilus sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Peloscolex ferox,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,6,CG,,
Spirosperma sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,6,CG,,
Tubifex tubifex,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Tubifex sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Undet. Tubificidae w/ cap. setae,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,10,8
Undet. Tubificidae w/o cap. setae,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,7,7
Undet. Tubificidae,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,CG,,
Amphichaeta americana,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Amphichaeta sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Arcteonais lomondi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Arcteonais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Ephemerella rotunda,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,,
Ephemerella subvaria,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,4,1
Ephemerella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,CG,4,4
Eurylophella funeralis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,CG,,
Eurylophella temporalis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,5,CG,,
Eurylophella verisimilis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,,
Eurylophella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,,
Serratella deficiens,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,5,2
Serratella serrata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,1,0
Serratella serratoides,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,0,1
Serratella sordida,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,,
Eclipidrilus sp.,ANNELIDA,OLIGOCHAETA,LUMBRICULIDA,Lumbriculidae,,5,CG,,
Lumbriculus sp.,ANNELIDA,OLIGOCHAETA,LUMBRICULIDA,Lumbriculidae,,5,CG,,
Stylodrilus heringianus,ANNELIDA,OLIGOCHAETA,LUMBRICULIDA,Lumbriculidae,,5,CG,,
Stylodrilus sp.,ANNELIDA,OLIGOCHAETA,LUMBRICULIDA,Lumbriculidae,,5,CG,,
Undetermined Lumbriculidae,ANNELIDA,OLIGOCHAETA,LUMBRICULIDA,Lumbriculidae,,5,CG,5,6
Undetermined Enchytraeidae sp. 1,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Enchytraeidae,,10,CG,,
Undetermined Enchytraeidae sp. 2,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Enchytraeidae,,10,CG,,
Undetermined Enchytraeidae,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Enchytraeidae,,10,CG,7,8
Aulodrilus americanus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,CG,,
Aulodrilus limnobius,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,CG,,
Aulodrilus pigueti,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,CG,,
Aulodrilus pluriseta,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,CG,,
Aulodrilus sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,CG,,
Bothrioneurum vejdovskyanum,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,CG,,
Bothrioneurum sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,CG,,
Serratella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,1,1
Undetermined Ephemerellidae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,CG,3,6
Tricorythodes sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptohyphidae,,4,CG,4,9
Undetermined Leptohyphidae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptohyphidae,,4,CG,,
Brachycercus maculatus,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,3,CG,,
Brachycercus sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,3,CG,,
Caenis amica,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,,
Caenis anceps,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,,
Caenis diminuta,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,,
Caenis latipennis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,,
Caenis macafferti,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,,
Caenis punctata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,,
Caenis sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,3,3
Undetermined Caenidae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,,
Baetisca sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetiscidae,,4,CG,,
Undetermined Baetiscidae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetiscidae,,4,CG,,
Anthopotamus verticus,ARTHROPODA,INSECTA,EPHEMEROPTERA,Potamanthidae,,4,CG,,
Anax longipes,ARTHROPODA,INSECTA,ODONATA,Aeshnidae,,7,PR,,
Basiaeschna sp.,ARTHROPODA,INSECTA,ODONATA,Aeshnidae,,6,PR,,
Georthocladius fimbriatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,CG,,
Rheocricotopus eminellobus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,3,CG,,
Molophilus sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,4,SH,,
Polypedilum braseniae,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,3,CG,,
Tetragoneuria sp.,ARTHROPODA,INSECTA,ODONATA,Corduliidae,,9,PR,,
Paracloeodes sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,9,SC,,
Cernotina sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropididae,Polycentropodinae,6,PR,,
Epicordulia sp.,ARTHROPODA,INSECTA,ODONATA,Corduliidae,,6,PR,,
Undetermined Carabidae,ARTHROPODA,INSECTA,COLEOPTERA,Carabidae,,4,PR,,
Undetermined Hydraenidae,ARTHROPODA,INSECTA,COLEOPTERA,Hydraenidae,,5,PR,,
Eucorethra sp.,ARTHROPODA,INSECTA,DIPTERA,Chaoboridae,Eucorethrinae,7,PR,,
Pseudodiamesa sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,6,CG,,
Boyeria vinosa,ARTHROPODA,INSECTA,ODONATA,Aeschnidae,,2,PR,,
Boyeria sp.,ARTHROPODA,INSECTA,ODONATA,Aeschnidae,,2,PR,,
Undetermined Aeshnidae,ARTHROPODA,INSECTA,ODONATA,Aeshnidae,,5,PR,,
Cordulegaster maculata,ARTHROPODA,INSECTA,ODONATA,Cordulegastridae,,3,PR,,
Cordulegaster sp.,ARTHROPODA,INSECTA,ODONATA,Cordulegastridae,,3,PR,,
Undetermined Cordulegastridae,ARTHROPODA,INSECTA,ODONATA,Cordulegastridae,,3,PR,,
Neurocordulia sp.,ARTHROPODA,INSECTA,ODONATA,Corduliidae,,2,PR,,
Didymops sp.,ARTHROPODA,INSECTA,ODONATA,Corduliidae,,2,PR,,
Tropisternus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophyllidae,,5,PR,,
Polypedilum bergi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,SH,,
Ablabesmyia aspera,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Sparbarus sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,CG,,
Dero flabelliger,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Undetermined Corduliidae,ARTHROPODA,INSECTA,ODONATA,Corduliidae,,2,PR,,
Erythemis sp.,ARTHROPODA,INSECTA,ODONATA,Libellulidae,,2,PR,,
Sympetrum janeae,ARTHROPODA,INSECTA,ODONATA,Libellulidae,,4,PR,,
Sympetrum vicinum,ARTHROPODA,INSECTA,ODONATA,Libellulidae,,4,PR,,
Sympetrum sp.,ARTHROPODA,INSECTA,ODONATA,Libellulidae,,4,PR,,
Undetermined Libellulidae,ARTHROPODA,INSECTA,ODONATA,Libellulidae,,2,PR,,
Macromia sp.,ARTHROPODA,INSECTA,ODONATA,Macromiidae,,2,PR,,
Undetermined Macromiidae,ARTHROPODA,INSECTA,ODONATA,Macromiidae,,2,PR,,
Calopteryx sp.,ARTHROPODA,INSECTA,ODONATA,Calopterygidae,,6,PR,,
Hetaerina sp.,ARTHROPODA,INSECTA,ODONATA,Calopterygidae,,6,PR,,
Undetermined Calopterygidae,ARTHROPODA,INSECTA,ODONATA,Calopterygidae,,6,PR,,
Argia moesta,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,6,PR,,
Argia sp.,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,6,PR,,
Nais communis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Nais elinguis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Nais pardalis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Nais simplex,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Nais variabilis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,5,0
Nais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Ophidonais serpentina,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Ophidonais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Paranais frici,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Paranais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,CG,,
Piguetiella michiganensis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Piguetiella sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Pristina aequiseta,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Pristina breviseta,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Pristina leidyi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Pristina menoni,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Chromagrion sp.,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,8,PR,,
Enallagma sp.,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,8,PR,,
Valvata sincera,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Valvatidae,,8,SC,,
Valvata tricarinata,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Valvatidae,,8,SC,,
Valvata sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Vavatidae,,8,SC,,
Undetermined Valvatidae,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Valvatidae,,8,SC,,
Undetermined Gastropoda,MOLLUSCA,GASTROPODA,,,,7,SC,,
Anodonta implicata,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,CF,,
Anodonta sp.,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,CF,,
Elliptio complanata,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,8,CF,,
Elliptio sp.,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,8,CF,,
Lampsilis radiata,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,CF,,
Lampsilis sp.,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,CF,,
Pyganodon cataracta,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,CF,,
Pyganodon sp.,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,CF,,
Undetermined Unionidae,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,CF,,
Corbicula fluminea,MOLLUSCA,PELECYPODA,VENEROIDEA,Corbiculidae,,6,CF,,
Corbicula sp.,MOLLUSCA,PELECYPODA,VENEROIDEA,Corbiculidae,,6,CF,,
Ischnura sp. 1,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,PR,,
Ischnura sp. 2,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,PR,,
Ischnura sp. 3,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,PR,,
Ischnura sp. 4,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,PR,,
Ischnura sp. 5,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,PR,,
Ischnura sp.,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,PR,,
Undetermined Coenagrionidae,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,8,PR,,
Lestes sp.,ARTHROPODA,INSECTA,ODONATA,Lestidae,,6,PR,,
Undetermined Lestidae,ARTHROPODA,INSECTA,ODONATA,Lestidae,,6,PR,,
Hesperocorixa sp.,ARTHROPODA,INSECTA,HEMIPTERA,Corixidae,,5,PR,,
Undetermined Corixidae,ARTHROPODA,INSECTA,HEMIPTERA,Corixidae,,5,PR,,
Undetermined Hemiptera,ARTHROPODA,INSECTA,HEMIPTERA,,,5,PR,,
Allocapnia vivipara,ARTHROPODA,INSECTA,PLECOPTERA,Capniidae,,3,SH,,
Allocapnia sp.,ARTHROPODA,INSECTA,PLECOPTERA,Capniidae,,3,SH,,
Paracapnia sp.,ARTHROPODA,INSECTA,PLECOPTERA,Capniidae,,1,SH,,
Undetermined Capniidae,ARTHROPODA,INSECTA,PLECOPTERA,Capniidae,,3,SH,,
Leuctra ferruginea,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,SH,,
Leuctra maria,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,SH,,
Leuctra tenuis,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,SH,,
Leuctra truncata,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,SH,,
Leuctra sp.,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,SH,,
Zealeuctra sp.,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,SH,,
Undetermined Leuctridae,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,SH,,
Amphinemura delosa,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,3,SH,,
Amphinemura nigritta,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,3,SH,,
Amphinemura wui,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,3,SH,,
Amphinemura sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,3,SH,,
Nemoura sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,1,SH,,
Prostoia sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,Nemourinae,2,SH,,
Pristinella osborni,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Pristinella sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CG,,
Ripistes parasita,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CF,,
Ripistes sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,CF,,
Slavina appendiculata,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Slavina sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Specaria josinae,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Specaria sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Stylaria lacustris,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,5,2
Stylaria sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Vejdovskyella comata,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Vejdovskyella intermedia,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,CG,,
Hydroporus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,PR,,
Laccophilus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,PR,,
Undetermined Dytiscidae,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,PR,,
Dineutus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Gyrinidae,,4,PR,,
Gyrinus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Gyrinidae,,4,PR,,
Undetermined Gyrinidae,ARTHROPODA,INSECTA,COLEOPTERA,Gyrinidae,,4,PR,,
Anacaena sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,CG,,
Berosus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,CG,,
Crenitis sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,CG,,
Helochares sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,PR,,
Helophorus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,SH,,
Hydrobius sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,PR,,
Hydrochara sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,PR,,
Hydrochus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,SH,,
Undetermined Viviparidae,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Viviparidae,,6,SC,,
Goniobasis livescens,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,SC,10,10
Goniobasis virginica,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,SC,,
Goniobasis sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,SC,,
Pleurocera acuta,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,SC,,
Pleurocera sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,SC,,
Undetermined Pleuroceridae,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,SC,,
Bithynia tentaculata,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Bithyniidae,,8,SC,,
Laccobius sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,PR,,
Undetermined Hydrophilidae,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,PR,,
Hydraena sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydraenidae,,5,PR,,
Ectopria nervosa,ARTHROPODA,INSECTA,COLEOPTERA,Psephenidae,,5,SC,10,9
Ectopria sp.,ARTHROPODA,INSECTA,COLEOPTERA,Psephenidae,,5,SC,,
Psephenus herricki,ARTHROPODA,INSECTA,COLEOPTERA,Psephenidae,,4,SC,10,9
Psephenus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Psephenidae,,4,SC,3,4
Undetermined Psephenidae,ARTHROPODA,INSECTA,COLEOPTERA,Psephenidae,,4,SC,,
Anchytarsus bicolor,ARTHROPODA,INSECTA,COLEOPTERA,Ptilodactylidae,,3,SH,,
Undetermined Ptilodactylidae,ARTHROPODA,INSECTA,COLEOPTERA,Ptilodactylidae,,3,SH,,
Helichus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dryopidae,,5,SC,,
Undetermined Dryopidae,ARTHROPODA,INSECTA,COLEOPTERA,Dryopidae,,5,SC,,
Hydrocanthus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Noteridae,Noterinae,5,,,
Undetermined Noteridae,ARTHROPODA,INSECTA,COLEOPTERA,Noteridae,,5,,,
Undetermined Scirtidae,ARTHROPODA,INSECTA,COLEOPTERA,Scirtidae,,5,SC,,
Ancyronyx variegatus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,CG,,
Ancyronyx sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,CG,,
Dubiraphia bivittata,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,6,CG,,
Dubiraphia quadrinotata,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,CG,,
Dubiraphia vittata,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,6,CG,,
Dubiraphia sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,6,CG,,
Macronychus glabratus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,CG,,
Macronychus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,CG,,
Microcylloepus pusillus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,3,SC,,
Microcylloepus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,3,SC,,
Optioservus cryophilus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,,
Optioservus fastiditus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,6,7
Optioservus immunis,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,,
Optioservus ovalis,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,9,4
Optioservus nr. sandersoni,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,,
Optioservus trivittatus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,7,6
Optioservus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,7,8
Oulimnius latiusculus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,,
Oulimnius nitidulus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,,
Oulimnius sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,SC,,
Promoresia elegans,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,2,SC,10,10
Promoresia tardella,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,2,SC,,
Promoresia sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,2,SC,,
Stenelmis bicarinata,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,,
Stenelmis cheryl,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,,
Stenelmis concinna,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,5,0
Stenelmis crenata,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,7,7
Stenelmis mera,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,,
Stenelmis musgravei,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,,
Stenelmis sandersoni,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,,
Stenelmis vittapennis,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,,
Stenelmis sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,7,7
Undetermined Elmidae,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,SC,,
Undetermined Curculionidae,ARTHROPODA,INSECTA,COLEOPTERA,Curculionidae,,5,SH,,
Donacia sp.,Arthropoda,INSECTA,Coleoptera,Chrysomelidae,,7,SH,,
Undetermined Coleoptera,ARTHROPODA,INSECTA,COLEOPTERA,,,5,,,
Chauliodes sp.,ARTHROPODA,INSECTA,MEGALOPTERA,Corydalidae,,4,PR,,
Corydalus cornutus,ARTHROPODA,INSECTA,MEGALOPTERA,Corydalidae,,4,PR,2,2
Corydalus sp.,ARTHROPODA,INSECTA,MEGALOPTERA,Corydalidae,,4,PR,,
Nigronia serricornis,ARTHROPODA,INSECTA,MEGALOPTERA,Corydalidae,,4,PR,10,8
Undetermined Corbiculidae,MOLLUSCA,PELECYPODA,VENEROIDEA,Corbiculidae,,6,CF,,
Dreissena polymorpha,MOLLUSCA,PELECYPODA,VENEROIDEA,Dreisseniidae,,8,CF,,
Dreissena sp.,MOLLUSCA,PELECYPODA,VENEROIDEA,Dreisseniidae,,8,CF,,
Undetermined Dreisseniidae,MOLLUSCA,PELECYPODA,VENEROIDEA,Dreisseniidae,,8,CF,,
Musculium partumeium,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,CF,,
Musculium transversum,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,CF,,
Musculium sp.,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,CF,,
Pisidium amnicum,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,CF,,
Pisidium casertanum,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,CF,,
Pisidium compressum,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,CF,,
